customer_id,name,email,city,country,tier,registered_at
6f839617-8eb9-4f96-8b3f-65f9739b019e,Monica Turner,michaelgomez@example.org,Port Mary,PT,Bronze,2026-01-15
37a37438-1e29-4fb3-baad-92a56b4df345,Allen Jensen,qkim@example.org,Crystalborough,SC,Platinum,2024-08-11
bec83310-bbc1-47d1-9235-fd32942a7f80,Ryan Smith,tracybanks@example.org,South Robert,BN,Silver,2026-03-04
6890ca55-7416-4d53-9f75-fbe2ba3750a2,Becky Davis,marierice@example.net,Shawntown,BI,Silver,2025-08-15
da8bd331-b241-4d8c-b74e-f6f0dd98235d,Jennifer Maxwell,hannah39@example.net,Katherinefort,ST,Silver,2025-04-16
f6f0c936-cbcb-4bc6-95d2-8094e82a4c23,Pamela Simpson,cassandra67@example.com,Port Patrick,CN,Gold,2024-08-15
11268ac2-9039-4f21-bb8a-3de01be1f07f,Jeremy Singh,awolfe@example.org,New Brookeland,SO,Bronze,2024-12-17
c357b9c5-0220-4c97-bc39-1eb1d27b2e4d,Gary Evans DDS,mary41@example.net,New Jeffrey,TD,Silver,2024-09-23
6d8495b4-843b-4595-bb2c-0d1116356fc6,Robert Jackson,debra16@example.org,Campbellview,BA,Platinum,2025-06-27
76346759-9687-46ea-9e61-9cff87d05d6a,Shawn Davis,khenderson@example.org,Lesliemouth,CD,Silver,2026-03-23
50cedc00-df51-41af-b5c0-a47431ab37ea,Mary Cooper,kelly81@example.net,Jadeland,ZA,Bronze,2024-01-11
d4152604-929d-4e57-9295-9a17641ac9b8,Matthew Short,annajackson@example.com,Port Jake,HR,Platinum,2023-05-11
7e049d73-1a84-4fff-acec-2eab6a144333,Hector Irwin,xlee@example.com,East Garymouth,NG,Silver,2025-04-02
03a3b152-89fb-444c-b50f-1e5eab5a151d,Joseph Rivers,shaunelliott@example.com,Johnsonland,CM,Platinum,2025-06-26
80bdbf64-3fe9-44ce-9d38-1ecd7a97567f,Ronald Williams,clarencepatterson@example.net,Jeffreymouth,AZ,Gold,2025-12-09
68c9c6b6-f8a3-4109-885b-d6d745ccd6fc,Lindsey King,qgallegos@example.net,Walterfort,MC,Bronze,2023-05-14
77e601e8-98a3-47c5-952b-e9c47bcfd724,Nathan Ford,oreid@example.com,Thomasville,AU,Bronze,2026-04-14
ac281f04-cb21-40c9-8b03-f8afcbd401b0,Gregory Ingram,emyers@example.org,Lake Joyce,CF,Gold,2023-07-02
ede7265d-d697-4ba8-9f82-9cfa09de5e83,Anthony Drake,carrillomatthew@example.net,West Margaretmouth,TM,Bronze,2025-03-26
eccfa67f-2dcc-4a0c-81aa-139ea6401890,Matthew Ramirez,smalljustin@example.org,New Andrea,MW,Silver,2024-03-14
0ccd48ad-faf7-48ea-8732-d9e326c4ab4e,Steven Patterson,charles15@example.net,Allenshire,KG,Gold,2024-02-24
67142927-b05f-4cae-9356-4f98b3599259,Jennifer Hernandez,ashley30@example.org,Nataliechester,EE,Silver,2023-09-11
6081b27e-1703-4fac-ae27-9e44e7db213c,Parker Young,esoto@example.com,Hudsonville,MA,Silver,2023-09-07
d8aa7bbd-61f2-4ec7-bfff-39855dcf3bb9,Lauren Frederick,jose39@example.org,East Ashleyburgh,BR,Silver,2023-10-27
1c22132b-a3b9-4d93-be3e-025e3cb14076,Kimberly Snyder,gmartinez@example.net,Blakemouth,KR,Bronze,2024-01-03
3d71ec43-3210-4a4a-8aa1-37b3a0a7ac33,Stephanie Cooper,mark93@example.com,Robertland,KP,Silver,2025-09-18
7bef0557-ee39-4bca-8883-1aa244014bbf,Aaron Jackson,patelchelsey@example.com,Fischermouth,MT,Bronze,2024-09-14
64f67949-6ac6-4a58-8dc3-e134ef90c2fd,Tyler Wolfe,michael98@example.org,Justinstad,GE,Gold,2025-08-21
a9951872-d548-4a12-b111-2f6c3e6e769d,John Mann,petersonvictor@example.com,East Carlview,FI,Gold,2024-06-25
ab7991b0-85e2-4117-9243-c485482de120,Colin Ellison,comptonbrian@example.net,Adamshaven,CF,Platinum,2024-01-03
d0fdcc6f-d390-44f0-aecf-35ce15cf06fc,Teresa Freeman,amber53@example.org,Randyville,BY,Gold,2024-06-17
a90a17c3-3f66-4809-a8f0-805887a28630,Tina Hill,jessica81@example.com,Maxwellshire,OM,Silver,2024-04-22
6d6dfbd3-4062-4de2-a36a-2a9b11e1bbd2,Alyssa Reyes,danielle04@example.org,West Tinahaven,IR,Platinum,2023-07-27
84ec1980-1712-4436-80c5-e79e11fc4238,Brooke Wagner,joshua35@example.net,Port Johnmouth,KH,Platinum,2026-01-12
09d721d1-be97-48fb-bc92-c00491ebf070,Sandra Wagner,laura89@example.org,Serranoland,TL,Silver,2026-04-30
59fa5140-232c-437c-aa9a-f925734f19e2,Thomas Nichols,juanpeterson@example.com,Terryhaven,RW,Silver,2024-04-26
11826eb6-ead5-4c0e-bf15-a1c6f854951f,Jennifer Lamb,thompsonmorgan@example.org,Josephside,SK,Gold,2024-01-23
7130cbfe-ccd8-4282-add8-6d1356b7ea60,Kim Rosales,kennedyjose@example.com,Smithview,GW,Bronze,2024-06-23
bc62a78c-1b1e-4608-934e-ec224af5b066,Kimberly Mullins,oblankenship@example.net,South Meghanland,BJ,Bronze,2024-11-18
6b0a19ac-27d2-490b-965f-7ea5a88c7b2e,Timothy Miles,flarson@example.com,Lake Madison,ET,Silver,2023-07-28
d5a42897-2a13-49c1-b67b-82f6006d82a4,Miss Amy Murray,frederick52@example.net,Kaylatown,GB,Gold,2024-10-16
848dad4c-87f8-42c5-b6b3-f299f795c1d7,Katherine Hunter,tannerjessica@example.com,South Ginafort,UY,Platinum,2024-09-18
9038cadb-1b10-478b-8d39-52cfad32a585,Kelsey Green,hayesmike@example.com,Longstad,DE,Gold,2025-09-06
6d453504-b30f-4124-9463-830785a70587,Phillip Mcmahon,louis54@example.com,Vickiebury,RW,Gold,2026-03-06
2b106fb4-9861-4b45-8efb-3e98b9015839,Bobby Fisher,kwhitney@example.com,Sarahfort,RS,Bronze,2025-07-30
ed7b0f0f-ace8-4c96-984e-da7912bc8adb,David Jennings,jonesjennifer@example.org,Stephaniebury,SN,Bronze,2025-10-18
7d7a80d1-a628-4e66-b092-31eee7bb32fe,Kelly Elliott,djohnson@example.com,Jamesview,RW,Bronze,2025-02-11
c69bd197-008f-48eb-bbb3-dc2eee6df7f9,Savannah Gonzalez,kferguson@example.org,Williamsmouth,MD,Platinum,2023-11-29
630ed72a-a390-4079-8d6d-1630c203c378,Brent Howard,shawnquinn@example.com,Jenniferberg,DM,Silver,2025-11-24
7ae24d1e-b216-4819-bd61-23aa995a7ec5,Blake Valentine,omelton@example.net,New Douglas,MY,Platinum,2025-07-06
ed9ef5d8-65e3-4970-b035-8ce5aa53fd26,Angela Lutz,autumnjackson@example.net,Lake Nichole,SD,Bronze,2024-01-06
4b4f85dd-214a-47e7-88bb-2b95c99693c5,Susan Lee,jroach@example.com,Maryburgh,LU,Gold,2025-04-01
890e96bc-c7b1-4e61-9477-ef34ee81f16e,Katie Jacobs,jameswolfe@example.org,West Lindsey,IL,Silver,2026-01-10
01941e52-674d-4787-a5c6-9a49fc37c363,Elizabeth Stevens,baileyjerry@example.net,North Beverlyfort,PE,Silver,2026-01-13
e04ae1c8-0e6d-4f82-9043-ac8797f85106,Julie Reid,nicholas31@example.net,Padillachester,DE,Platinum,2026-01-25
22e264d8-8bce-4739-a410-4c140850a081,Kari Stevens,leah21@example.net,Port Jamesview,BW,Gold,2023-05-10
cc1f6a3b-1922-4c4e-9845-f4ea1743fe0f,Tammy Holmes,moorelacey@example.org,Michelletown,GA,Gold,2023-08-17
1f2df0c6-25b1-4dd5-9c3e-9a0f268376b5,Alexander Gray,josemiller@example.org,Novakport,MG,Bronze,2023-12-11
d6890978-7a24-43e5-a3a9-ba2d42ed53e3,Sonia Holden,mikedominguez@example.com,Brittanyshire,JO,Platinum,2023-08-14
4122fcd2-c375-4e7c-9e2f-0f6859e7d718,Roberto English,danielbaker@example.org,Nelsonport,MV,Silver,2024-05-01
77ded246-10fe-42b3-a60f-4b59700b6a76,Jay Johnson,belljustin@example.org,Jonshire,LK,Bronze,2023-07-10
befd6c0a-f593-4ede-8c0f-e1f996357e7b,Brandon Foster,xknapp@example.net,Lake Melanie,WS,Silver,2024-03-27
b0cdcaee-019b-445b-adb5-857be345660e,Emily Barr,rachel35@example.org,Lake Jadeville,VC,Bronze,2025-01-08
b7ca1260-0232-4873-ac9d-9b5a8beb2291,Lisa Briggs,michelle34@example.net,West Kaitlin,KE,Platinum,2024-10-04
c483a76f-7c28-407e-903e-76e7127cdde4,Christina Long,alexandercook@example.net,Brendatown,KH,Gold,2025-03-29
5c1cd897-3642-41c0-b368-60dd3041c483,Derek Thomas,thomas23@example.org,South Thomas,CR,Bronze,2024-12-12
f6a2155d-1d69-49cf-a2fb-937a312c3b85,Michael Medina,victoriaanderson@example.com,Lake Francisco,CR,Gold,2024-06-06
701c5087-cc9a-4a65-9fbd-521d55d6ae2b,Aaron White,ndickerson@example.org,Scottchester,SY,Silver,2023-05-23
4949c7c8-c514-4a55-9993-a223613608bd,Laura Webster,trevorburke@example.net,Port Matthewstad,BN,Gold,2023-09-11
846ecb7e-d636-4942-92ff-e3658070817c,John Deleon,john14@example.com,West Roberttown,DO,Platinum,2024-12-07
69672c39-f307-4dc2-a55c-a6fdd7f59093,Miss Tammy Holland,canderson@example.net,East Keithport,PA,Bronze,2023-09-18
b26fa664-7e33-44ce-a848-e170093da450,Alyssa Boone,brittanyhoffman@example.com,Johnberg,AD,Platinum,2025-11-01
ab95daad-a2b5-44a0-9bfd-d6f299bb749a,Sarah Thomas,knightkatherine@example.org,North Paultown,CU,Gold,2024-03-14
c61021f6-101e-4ee6-b714-3c90302b5193,Brian Ross,mclaughlintimothy@example.net,Justinton,QA,Bronze,2024-06-21
7d0a49c4-e01c-4bbe-b07b-ecc9f99e2347,Anthony Ingram,raymond05@example.com,Lake Amanda,BE,Platinum,2024-04-19
16c8863e-6bbc-4e19-ae19-25f1fea7d2d0,Shelby Richard,karengarcia@example.org,West Drew,BG,Platinum,2024-06-21
a8d30c26-161f-4728-941d-341f0be055d3,Summer Contreras,robertcarroll@example.org,New Jennifer,AE,Silver,2023-11-07
b37ebcba-5de6-40c6-b250-958b60b4ff01,Jason Owens,jose42@example.org,Lanechester,NO,Platinum,2025-09-22
3b61065c-6979-4af4-92c3-fbb6603908a2,Paul Wilson,dclark@example.org,Edwardshaven,CN,Silver,2024-09-07
65baecf1-28d1-46df-8c8c-31796c10dbd6,Samantha Davies,gallegosmichelle@example.org,Nelsonfort,SC,Gold,2024-06-19
c5819ab1-4f9e-448e-b0f6-74ff5cd13799,Alexandria Davis,taylorsteven@example.net,New Matthew,GA,Silver,2026-04-17
